email,nome,unsubscribed
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
teste1@exemplo.com,João,False
teste2@exemplo.com,Maria,False
teste3@exemplo.com,Carlos,False
